app-1    | 2025-07-07 10:50:04,971 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiWkFVX3lxTE9PZUU2LVpuZVNVQTIwQlpnMW5HbjU1a20wODkwdkQ0RURqYVVUVlNQSXZqNUo1c2hmbktvQlFlWDJXcGhuelhjV1dRV0J4eUVpVFd4Ykh2ZWNWZ9IBX0FVX3lxTE02bkEtNGJqZk1GM05sWXYzOEZaN3R0NHUydENzV1A3TUt4Y1hQa2ZEd0dZYnI0UnNTVzVtRi1pMHg0N3VZaE4yeWhhMmozRGJnbmlQanV4eWVqczdkcm9Z?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,973 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMixgFBVV95cUxNb2JTeU5UUDlnaWRJUXV4b2lwMzgxYkhMUEdsV1VRNGVxanlLVXRqcjB2bkVTT1hrWTloWVJyc0s0eUJVZmU3NUs4bHNpU3JQeUNMeFV3am02S001Qmd4Mmh3ajQ2dkluWHFfbzh3VVhqc2FENVRjTWtQQVFzRjRyS0lnOUdidTR2RFMtOU90WVI3U1JnWVlUZnBEWWZ3NEphSHB0blBMZkE2c1hfanVlT0hfb1FvTGlPX2w0LUZKZmhfdk1wZnfSAc4BQVVfeXFMTW1ad1dLQko1U1RMeVhJYzBaY1hTX0xPbjktYTFUUHA5VEszTldIelVkLVhrWWZGZDVkenFxWl9LclJnSUxYUVNQTXNHWEx0OGRFVlhjc21RQVhJQzJTTGtKbzZrT1AtaGl6d0JTRG9JUlNQLVIxdUs1Wm16YXpnSFBXQU1idVl0YmVoWURtX0tjZmY2cnI4MFVlc0pKZUhxaVF3bUlQeHpuc0dWRjhYQk01MTNxTWN3ei1STXFsVW1PeWJrQUs4d3RxTUtzRWc?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,974 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiwgFBVV95cUxQX3JjUnlJYThyZzJPS0hDV3Roa1EwMUpnSEs5MEpIUDlOZHg2NExjMDBSLUZHdVlOTldMYUNtWkNMN00xWU9EYmJ6aGlvLXNmZjkyMnZPN29pMkthUm1OQUZLakV3eHlXMndaSTdVSmpMU0daSDNsazdnbGhBckNDSTBqallXZGdDUDBpNEI0UDJWeERrVV9DMkNzN1FaVGdJalBRdkhldmtkS0hnVWNqcUJYcUtXclo2Q3FHcUZYeUlkUdIBygFBVV95cUxNSThEOXNHM3ZoWXgzMEhLRkJEbXpKNlpuN0luUVZ0WkhSMDFwRFBtQVRkUzA0dE9hLXMxdGllQndaVThYbXhtSm9pQ3piWFN3OFZiMXI2ajI5MkRNTmRJLUtpcUZVTjdHZ3RaeHY0S0pOSjI0bU9BWVIxc2xFcnVGaVhGUllnSEdiY0prRmtkbWFleFdUZEVSdlhyVGNlODM1SW05WWlvSHpheS1DNE5uZjRoRW9adU5IdVBZMlBsYzJSMXBXVkJGUWdB?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,976 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1ockU5T28zUVloR3o4LWNaYXJkaHdvdzZtT0RFYUF4T0M2QXVDZjhDMmsyR01UbW9xMHlBYTRCSFZaZmFwcGJ0ZV9fWk5hbE9IcnVEUDVsWkwzdVFEQ3M2eHJtOS1XQW8?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,977 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMinAFBVV95cUxOOXZFMUREZFY2NEh4bzdWTHpRTlJuU0hGTDVjRVpTajRoOEhIZEtqdWY3RzNpVU82cm43WjU3QnE1SUFRNmpZc1l5T0p5Z21vT0pURU9NVWVSdW4tdXkzakZEQ0I3ejYzUlQxMjBfSElEbGNZRmZoQkF2U1d3aUJ4eFMzeVV5dlhBRDZ5d2loYVg0TDJ4OENOS0NYTDM?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,979 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMi4wFBVV95cUxQUkJ1UkU4Nnh6NUZnVjdkbGZUcFh2WURKcEJsRkZvTzY5dWpDalEwNlpsTnBUSE1fU2s3OUJwTzZ6WU5nNlZzZXBOS21oeVpqM29EenlkZUxsbGlDNG9ZS3hTV2tCbzZZeHFSS1lBUE5VYllybjJOdUlwcllNdXpRQ1QwUUdnTElNU1lJWEJJZEN6ZGdnS3lDekV5V1JRZkMyOXNPcFJEMjhzbU9wQy0xd1haOEtYSHZpcVI5NVpqWHJGY1htNzZYaV9zN2M3R3BseDRJZURoU1k4NWJ2N1MxSU1Td9IB6AFBVV95cUxPdFlFU1hSbkJwd2ZRczdHd1hqR2ZidHYtXy1NT0wyV2psUThZb3pmVXhYNHdWdkx5c2pZSVhabFB2aUxqU2dZUUt2NFFSVGVmUXQwVS1JTjdXWGdoUW01cFpDSmRSTTgzRGdJR0FNc0IxMVNMb0d3Yk9PLXhVdWdMTzV1MFlxd1lyRXJKMkZmOWIzMEFQLTd4aGgtR2lsLUxEQ3RBOWZhWXRDOXFtclF6U1dTUUNMaU9ETkZDY3dZN2hpLXdJMEhhNDcyZ1pPdmRNU3FnZW5mWlcya3RHcDBtVXY0Y3ZaTjBK?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,982 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiZkFVX3lxTE5ueEhiNmQtVjNKMjE3UEFXTWpKcUhjRjhiSGUzMDJoLUVMRGtTZ2JRTFZBUGY4Q01EdUk3Y1RsY2REeEpVTlFoNGFhUDdiRThIS2d1MDFpQzZacW8yYXJlMkstenNyZ9IBa0FVX3lxTFBrWlZ4WFV3Vk5ZTkNtYzNuUE9hZ3ZYU05WclhsbGQ5RTNyN2lTTGZwZU1lUjkwNnI0dW5FcG5CVFFoTHJkdTk0aElIZDJZeldmSk53bk9uRFZnYnR6WlhFV1ptNUJGUTlrcDhV?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,982 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMirAFBVV95cUxNT3B4N3AzMFJ5T2trVW1Rc0twYktybnNJd0wzVmRGdkhWQ1o4d1VXZVZjcDhsaGxacFhMTWZVQXFDSHVMQTdDQjVPaFFialJocHpnLURnQUd6c2Jxc3RQVld5WGtXX3dLTjRGbHRYdGRyN0dKWHItaUs5M1E2SDlORjNwdmRGMW5ZcDc1UGRxemlwTHJ4QnQxNnRQOFdPdDFGR2U3Ml9SZ183ZmlD?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,984 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMiYEFVX3lxTE1zQ2xXY3EtN2RZcng1eHhFWUxqRHpUY2VMbUNLd1FTbW9yUTBUZllSd2xaYWxBQ2FtZVVDVXMyWEFPR211UnR6Sm1EZEVsalNCRHJsYWNJWHhPejRvcmRZatIBZkFVX3lxTFBZWkNVYk1kSDFSX2s5VVU3U3daWGpBbGM3TnhOWERXanBNNFVLOWxTYnhWX1FudUxzRlBfMXh2UDd6VXZlZURHS3RWWU1BS29iRE4tZmN2RElwd2xHYmdkZTFBaEljQQ?oc=5 "HTTP/2 302 Found"
app-1    | 2025-07-07 10:50:04,986 - httpx - INFO - HTTP Request: GET https://news.google.com/rss/articles/CBMixwFBVV95cUxPWnZzTUVWc0t4b21tN0pYSmtTc25oaC1yMmdlOTNTYXQzZWRsNV9PY3gxN2JYaGxmVHVVa2twQl9WbDg1eGFaTEtTdkNYX1RYM1pWUVBZVXVlLXFVM2J4T05ta3FZTDlsUmtpSUxPMDFMQXhXQVlzOW9iOEZSdWp1QnJ1c3M4OURtZHJaQXUzdjFpSWRTR3NVWFZFN1dsSkxlMmlXUXVsS3RBQ0p4VVRPX1JYamw1dGlxalU1TUYzU2ZzMnNiWWJj?oc=5 "HTTP/2 302 Found"
